"address";"lat";"lng";"city"
"Akademiestr. 1";"48.1521700";"11.5813700";"München"
"Amalienstr. 17 (A)";"48.1470600";"11.5761000";"München"
"Amalienstr. 52 (K)";"48.1500500";"11.5784900";"München"
"Amalienstr. 54 (L)";"48.1503800";"11.5786800";"München"
"Amalienstr. 73A";"48.1507300";"11.5785000";"München"
"Amalienstr. 83 ";"48.1513300";"11.5788800";"München"
"Bavariaring 19";"48.1341500";"11.5536300";"München"
"Butenandtstr. 01 (K)";"48.1136300";"11.4650300";"München"
"Butenandtstr. 05 (B)";"48.1136300";"11.4650300";"München"
"Butenandtstr. 07 (C)";"48.1136300";"11.4650300";"München"
"Butenandtstr. 09 (D)";"48.1136300";"11.4650300";"München"
"Butenandtstr. 11 (E)";"48.1136300";"11.4650300";"München"
"Butenandtstr. 13 (F)";"48.1136300";"11.4650300";"München"
"Edmund-Rumpler-Str. 09 (A)";"48.1944700";"11.6111100";"München"
"Feodor-Lynen-Str. 23 (N)";"48.1131800";"11.4647000";"München"
"Feodor-Lynen-Str. 25";"48.1130300";"11.4647300";"München"
"Fraunhoferstr.12";"48.1104000";"11.4485800";"Planegg/Martinsried"
"Georgenstr. 07";"48.1544700";"11.5810300";"München"
"Georgenstr. 11";"48.1543600";"11.5804400";"München"
"Geschwister-Scholl-Platz 1";"48.1506700";"11.5805400";"München"
"Giselastr. 10";"48.1550000";"11.5857800";"München"
"Goethestr. 29 (J) ";"48.1354400";"11.5588700";"München"
"Goethestr. 31 (H) ";"48.1348900";"11.5585400";"München"
"Goethestr. 33 (G) ";"48.1345900";"11.5585500";"München"
"Großhaderner Str. 02";"48.1091500";"11.4584400";"Planegg/Martinsried"
"Großhaderner Str. 04";"48.1092600";"11.4594900";"Planegg/Martinsried"
"Großhaderner Str. 06";"48.1090400";"11.4546900";"Planegg/Martinsried"
"Großhaderner Str. 09";"48.1169505";"11.4793165";"Planegg/Martinsried"
"Kaulbachstr. 37";"48.1494700";"11.5835500";"München"
"Kaulbachstr. 45";"48.1506400";"11.5840600";"München"
"Kaulbachstr. 53";"48.1514800";"11.5842300";"München"
"Königinstr. 08 (B)";"48.1515200";"11.5855800";"München"
"Königinstr. 10b (E)";"48.1459100";"11.5842300";"München"
"Königinstr. 12 (F)";"48.1521200";"11.5860400";"München"
"Königinstr. 14 (G)";"48.1521600";"11.5865500";"München"
"Königinstr. 16 (H) ";"48.1524400";"11.5867200";"München"
"Königinstr. 18 (J) ";"48.1527300";"11.5868400";"München"
"Konradstr. 06";"48.1558600";"11.5771300";"München"
"Laplacestr. 16";"48.1463000";"11.6063800";"München"
"Leopoldstr. 03";"48.1536800";"11.5827500";"München"
"Leopoldstr. 05";"48.1540600";"11.5828900";"München"
"Leopoldstr. 11 A-B";"48.1549800";"11.5827200";"München"
"Leopoldstr. 13";"48.1562500";"11.5826100";"München"
"Leopoldstr. 13A";"48.1561200";"11.5833300";"München"
"Leopoldstr. 15";"48.1565500";"11.5834200";"München"
"Leopoldstr. 30";"48.1556924";"11.5842991";"München"
"Leopoldstr. 44";"48.1568000";"11.5861100";"München"
"Lessingstr. 02 (Beethovenpl.)";"48.1335200";"11.5578800";"München"
"Lessingstr. 02 (Lessingstr.)";"48.1335200";"11.5578800";"München"
"Lindwurmstr. 23";"48.1314100";"11.5629300";"München"
"Ludwigstr. 27 (G) ";"48.1494700";"11.5805200";"München"
"Ludwigstr. 28 (X VG)";"48.1516500";"11.5823700";"München"
"Ludwigstr. 28 (Y RG)";"48.1516500";"11.5823700";"München"
"Ludwigstr. 29";"48.1516300";"11.5814200";"München"
"Ludwigstr. 31";"48.1518600";"11.5815200";"München"
"Ludwigstr. 31, RG";"48.1518600";"11.5815200";"München"
"Ludwigstr. 33";"48.1520900";"11.5816300";"München"
"Luisenstr. 37";"48.1473400";"11.5648000";"München"
"Marchioninistr. 27";"48.1125300";"11.4693900";"München"
"Maria-Theresia-Str. 21";"48.1430287";"11.5986936";"München"
"Martiusstr. 04";"48.1570100";"11.5856400";"München"
"Oettingenstr. 67";"48.1504300";"11.5950800";"München"
"Pettenkoferstr. 09A ";"48.1339400";"11.5621500";"München"
"Pettenkoferstr. 12 (D)  ";"48.1345100";"11.5598800";"München"
"Pettenkoferstr. 14 (F) ";"48.1344200";"11.5593300";"München"
"Professor-Huber-Platz 2";"48.1508300";"11.5820500";"München"
"Richard-Wagner-Str.10";"48.1473900";"11.5634600";"München"
"Schackstr. 04";"48.1519600";"11.5837600";"München"
"Scheinerstr. 01";"48.1459200";"11.6076300";"München"
"Schellingstr. 03 (S)";"48.1493000";"11.5790900";"München"
"Schellingstr. 04 (H)";"48.1495400";"11.5792000";"München"
"Schellingstr. 05";"48.1492200";"11.5795200";"München"
"Schellingstr. 07";"48.1495100";"11.5784800";"München"
"Schellingstr. 09";"48.1495500";"11.5782000";"München"
"Schellingstr. 12 (K)";"48.1495400";"11.5786100";"München"
"Schellingstr. 33";"48.1503518";"11.5751781";"München"
"Schillerstr. 42 (B)";"48.1350700";"11.5606800";"München"
"Schillerstr. 44 (K)";"48.1351900";"11.5600800";"München"
"Schillerstr. 46 (C)";"48.1344600";"11.5606100";"München"
"Schönfeldstr. 13A";"48.1458100";"11.5821200";"München"
"Schönleutnerstr. 8";"48.2489400";"11.5529100";"Oberschleißheim"
"Seestr. 13";"48.1587900";"11.5903200";"München"
"Sonnenstr. 16";"48.2434800";"11.5500400";"Oberschleißheim"
"Thalkirchner Str. 36 / Frauenlobstr. 7a";"48.1300700";"11.5656000";"München"
"Theresienstr. 37, 39, 41";"48.1479900";"11.5735000";"München"
"Veterinärstr. 01";"48.1504800";"11.5828200";"München"
"Veterinärstr. 05";"48.1503800";"11.5831500";"München"
"Veterinärstr. 13 (A)";"48.1501700";"11.5838600";"München"
"Veterinärstr. 13 (C) ";"48.1501700";"11.5838600";"München"
"Veterinärstr. 13 (K) ";"48.1501700";"11.5838600";"München"
"Veterinärstr. 13 (L) ";"48.1524400";"11.5867200";"München"
"Veterinärstr. 13 (N) ";"48.1521600";"11.5865500";"München"
"Veterinärstr. 13 (P) ";"48.1521200";"11.5860400";"München"
"Veterinärstr. 13 (Q)";"48.1501700";"11.5838600";"München"
"Veterinärstr. 13 (R)";"48.1501700";"11.5838600";"München"
"Veterinärstr. 13 (S)";"48.1501700";"11.5838600";"München"
"Veterinärstr. 13 (T)";"48.1501700";"11.5838600";"München"
"Zentnerstr.31";"48.1582400";"11.5642300";"München"
